latitude,longitude,frp
-12.78762,132.03348,126.5
-12.32473,134.83466,4.5
-12.49022,133.84648,42.4
-12.49101,133.84169,42.4
-12.48727,133.84113,26.9
-12.48805,133.8364,13.7
-12.47821,133.87259,3.3
-12.48354,133.8405,26.9
-12.48432,133.83585,13.7
-12.31195,134.83783,3
-12.48058,133.83528,5.7
-12.48133,133.83073,5.7
-12.47083,133.84779,4.5
-10.91831,142.27632,4
-12.46709,133.84715,4.5
-12.31018,134.70543,37
-12.15011,135.60519,5.4
-12.30276,134.72514,3.5
-12.14526,135.60834,4.6
-12.27756,134.84801,4.3
-12.29882,134.72446,7.1
-12.30232,134.70406,7.6
-12.1274,135.68533,9.9
-12.1281,135.68137,9.9
-12.27359,134.84732,4.3
-12.29839,134.7034,7.6
-12.30014,134.69324,1.6
-12.31057,134.63252,5.5
-12.12323,135.68451,5.8
-12.12392,135.68057,5.8
-12.12461,135.67665,7.6
-12.25518,134.93008,20.9
-12.29621,134.69255,1.8
-12.12181,135.66811,10.8
-12.12318,135.66031,13.9
-12.12455,135.65254,3.1
-12.12523,135.6487,3.1
-12.2417,134.96034,26.8
-12.24262,134.95506,26.8
-12.37018,134.21454,9.8
-12.371,134.20978,11.1
-12.11405,135.63882,4.2
-12.11748,135.61948,2.9
-12.11817,135.6156,2.9
-12.12091,135.60014,5.2
-12.11537,135.60715,3.8
-12.11605,135.6033,5.2
-12.11674,135.59944,5.2
-12.11742,135.5956,7.5
-12.1181,135.59175,7.5
-12.11879,135.58791,4
-12.28447,134.64368,12.5
-12.28142,134.63795,5.4
-12.2919,134.57756,9.9
-12.29277,134.57254,9.9
-12.67257,132.30963,5.1
-12.28799,134.5769,9.9
-12.22634,134.93056,6.7
-12.28712,134.58192,8.2
-12.28887,134.57187,9.9
-12.28974,134.56686,13.9
-12.32382,134.36984,4.8
-12.6691,132.30905,5.1
-12.22235,134.92989,2.7
-12.27359,134.63664,4.9
-12.28235,134.58626,11.7
-12.28584,134.56618,9.6
-12.6878,132.15005,6.7
-12.28108,134.57051,18.2
-12.28195,134.56549,9.6
-12.68718,132.15388,6.7
-12.68842,132.14622,6.5
-12.68966,132.13857,7.2
-12.6893,132.15073,5.6
-12.28569,134.64162,11.1
-12.68991,132.1469,9.1
-12.69112,132.13924,6.2
-12.29268,134.57538,3.4
-12.68464,132.15784,3
-12.68525,132.15399,5.6
-12.68586,132.15016,5.6
-12.68768,132.13866,6.2
-12.28878,134.57471,24.5
-12.11554,135.60371,5.2
-12.1162,135.59984,5.2
-12.11685,135.59599,8.9
-12.11751,135.59213,8.9
-12.11816,135.58827,5.4
-12.28794,134.57976,24.5
-12.28961,134.56969,10.2
-12.29045,134.56465,10.2
-12.32243,134.37216,5
-12.68059,132.16112,5.5
-12.6812,132.15726,5.5
-12.68241,132.14958,15.5
-12.68423,132.13806,5.9
-12.22555,134.92838,6.7
-12.27393,134.63963,5.4
-12.2832,134.58409,7.1
-12.28572,134.569,10.2
-12.28655,134.56398,10.2
-12.25983,134.69978,3.1
-12.27001,134.63898,7.7
-12.28182,134.5683,6.4
-12.28266,134.56328,6.4
-12.67248,132.16763,9.1
-12.09904,135.6248,4.4
-12.27624,134.57765,8
-12.27708,134.57263,8
-12.27792,134.56763,6.4
-12.09618,135.61633,9.3
-12.23121,134.82181,3.4
-12.25453,134.68317,6
-12.25538,134.6781,5.2
-12.23074,134.80042,4.5
-12.24975,134.68758,6
-12.27012,134.5663,3.5
-12.27096,134.56133,3.5
-12.22678,134.79974,14.3
-12.22765,134.79456,14.3
-12.26538,134.57063,7.1
-12.26622,134.56564,9.4
-12.26705,134.56067,9.4
-12.26789,134.55568,19.4
-12.26399,134.55504,19.4
-12.22282,134.79904,14.3
-12.26063,134.575,7.1
-12.26483,134.55003,19.4
-12.25503,134.58441,5.4
-12.25925,134.55936,9.3
-12.26009,134.55438,24.8
